SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
EMOFSR1RDP,MF,9.72,9.72,9.62,9.71,9.71,9.81,11900,115158,22-SEP-2020,4,INF754K01IS7,
EMOFSR1RGG,MF,9.71,9.71,9.66,9.67,9.67,9.85,38350,370738.5,22-SEP-2020,7,INF754K01IR9,
ENDURANCE,EQ,1084,1119.7,1025,1079.85,1107.5,1086.75,107622,113936420.15,22-SEP-2020,7168,INE913H01037,
ENERGYDEV,EQ,5.7,5.8,5.6,5.7,5.65,5.85,8280,47064.4,22-SEP-2020,49,INE306C01019,
ENGINERSIN,EQ,66.1,66.9,63.85,64.45,64.75,67.05,1950017,126362655.45,22-SEP-2020,16157,INE510A01028,
ENIL,EQ,158.25,158.25,150.8,152.05,151.85,156.4,11455,1749628.75,22-SEP-2020,248,INE265F01028,
EQ30,EQ,350.49,350.49,330.04,350,350,331.15,296,102010.55,22-SEP-2020,21,INF754K01EM9,
EQUITAS,EQ,51.6,52.2,49.25,49.85,49.95,52.2,4290424,215470502.25,22-SEP-2020,19368,INE988K01017,
ERFLNCDI,N2,1010.01,1010.01,1010,1010,1010,1014.47,910,919100.5,22-SEP-2020,13,INE528S07086,
ERFLNCDI,N3,934.99,934.99,934.99,934.99,934.99,900,45,42074.55,22-SEP-2020,1,INE528S07094,
ERFLNCDI,N5,822.87,822.87,822.87,822.87,822.87,822.99,1,822.87,22-SEP-2020,1,INE528S07110,
ERFLNCDI,N6,785,785,785,785,785,802,45,35325,22-SEP-2020,3,INE528S07128,
ERIS,EQ,518.7,538,506.05,524.95,524.8,514.75,138496,72711773.5,22-SEP-2020,7017,INE406M01024,
EROSMEDIA,BE,21,21,19.95,20.5,20.7,21,131084,2656518.1,22-SEP-2020,703,INE416L01017,
ESABINDIA,EQ,1366,1391.35,1323,1342.55,1351,1368.6,3633,4874048.55,22-SEP-2020,626,INE284A01012,
ESCORTS,EQ,1215,1227.25,1170,1198.8,1203,1213.35,2106701,2517239989.9,22-SEP-2020,90063,INE042A01014,
ESSARSHPNG,BE,9.1,9.1,8.35,8.4,8.4,8.75,17845,152353.65,22-SEP-2020,91,INE122M01019,
ESSELPACK,EQ,243.95,253.9,226.45,251.65,253.4,242,1068502,259438575,22-SEP-2020,27204,INE255A01020,
ESTER,EQ,74.65,76,71.3,72.75,72.85,74.6,176820,12844660,22-SEP-2020,1631,INE778B01029,
EUROCERA,BZ,2.6,2.6,2.6,2.6,2.6,2.5,18449,47967.4,22-SEP-2020,9,INE649H01011,
EUROMULTI,BE,2.6,2.6,2.6,2.6,2.6,2.5,40776,106017.6,22-SEP-2020,62,INE063J01011,
EUROTEXIND,EQ,8.1,8.15,8.1,8.1,8.1,8.45,694,5655.15,22-SEP-2020,4,INE022C01012,
EVEREADY,EQ,143.95,144.05,135,137.8,137.2,142.8,377459,52160449.05,22-SEP-2020,1911,INE128A01029,
EVERESTIND,EQ,206.1,207.45,195.3,200.9,202,206.65,49286,9918173.75,22-SEP-2020,2209,INE295A01018,
EXCEL,EQ,1.2,1.2,1.1,1.1,1.1,1.15,300,345,22-SEP-2020,4,INE688J01015,
EXCELINDUS,EQ,908,918,855.8,894.75,897.5,908.7,29585,26341050.4,22-SEP-2020,3929,INE369A01029,
EXIDEIND,EQ,158.55,161.2,153.8,156.75,155.8,159.85,4811979,760114572.5,22-SEP-2020,41990,INE302A01020,
EXPLEOSOL,EQ,508.35,508.35,482.95,492.8,500,508.35,30231,14696591.9,22-SEP-2020,901,INE201K01015,
FACT,EQ,46,46,41.95,42.9,43,44.6,49225,2114119.45,22-SEP-2020,847,INE188A01015,
FAIRCHEM,EQ,562,563.75,526,544.4,542.1,561.05,26354,14328403.25,22-SEP-2020,2373,INE959A01019,
FCL,EQ,31.5,31.8,29.65,31.05,31,31.5,159119,4868911.9,22-SEP-2020,894,INE045J01026,
FCONSUMER,EQ,8.9,9,8.7,8.7,8.7,9.15,12603702,110306851.4,22-SEP-2020,15166,INE220J01025,
FCSSOFT,EQ,0.45,0.45,0.4,0.45,0.45,0.4,2180548,934193.5,22-SEP-2020,392,INE512B01022,
FDC,EQ,335,344,310,338.8,343,330.8,759322,248521602,22-SEP-2020,21669,INE258B01022,
FEDERALBNK,EQ,50,50.15,47.55,48.85,49.1,49.8,37261285,1815433695.4,22-SEP-2020,68364,INE171A01029,
FEL,EQ,13.15,13.3,12.9,12.9,12.9,13.55,2471435,32008295.6,22-SEP-2020,3466,INE623B01027,
FELDVR,EQ,15,15.1,14.45,14.45,14.45,15.2,55728,807234.3,22-SEP-2020,186,IN9623B01058,
FELIX,SM,34,35.45,34,35.45,35.45,35,8000,277800,22-SEP-2020,2,INE901X01013,
FIEMIND,EQ,590,595,523.75,564,567.1,597.6,101904,56742354.1,22-SEP-2020,8005,INE737H01014,
FILATEX,EQ,26.2,27.1,24.65,25.85,26.65,26.7,75352,1927901.25,22-SEP-2020,590,INE816B01027,
FILDF2GPD,MF,0.54,0.54,0.54,0.54,0.54,0.6,416,224.64,22-SEP-2020,1,INF090I01UJ4,
FINCABLES,EQ,283.8,286,269.55,276.1,276,286.55,107177,29563143.85,22-SEP-2020,5141,INE235A01022,
FINEORG,EQ,2685,2724,2450.05,2661.2,2710,2679.35,142428,366010788.5,22-SEP-2020,22548,INE686Y01026,
FINPIPE,EQ,516,524.5,490.05,520.05,521.8,516.65,54140,27399217.4,22-SEP-2020,3292,INE183A01016,
FLEXITUFF,BE,11.25,11.4,10.9,11.4,11.4,11.45,3990,44786.85,22-SEP-2020,10,INE060J01017,
FLFL,EQ,95.1,97.65,93.55,94.6,94.8,98.45,560958,53043115.8,22-SEP-2020,6832,INE452O01016,
FLUOROCHEM,EQ,521,524,494.1,511.85,519,521.25,356077,179141341.3,22-SEP-2020,2119,INE09N301011,
FMGOETZE,EQ,377.7,377.7,351.7,360.85,360,365.35,3107,1121315.85,22-SEP-2020,254,INE529A01010,
FMNL,EQ,21.05,21.45,20.85,20.85,20.85,21.9,27273,571143.05,22-SEP-2020,236,INE360L01017,
FORCEMOT,EQ,1098,1123.2,1056.35,1065.6,1065,1110.2,36765,39392663.6,22-SEP-2020,3935,INE451A01017,
FORTIS,EQ,131.35,133,129.45,132.05,132.3,131.35,567004,74222420.85,22-SEP-2020,4926,INE061F01013,
FOSECOIND,EQ,1267.5,1267.6,1183.85,1220.8,1232,1252,1061,1292027.25,22-SEP-2020,246,INE519A01011,
FOURTHDIM,SZ,12.95,12.95,12.95,12.95,12.95,13.6,1000,12950,22-SEP-2020,1,INE382T01014,
FRETAIL,EQ,92.35,94.5,90.55,90.95,90.75,95.3,3883783,354770021.65,22-SEP-2020,33547,INE752P01024,
FSC,EQ,110.05,115.05,108.35,110.4,110.45,114.05,252338,27763305.45,22-SEP-2020,4451,INE935Q01015,
FSL,EQ,69.8,72.9,67.2,72.05,72.15,71.65,5722191,402534028.7,22-SEP-2020,27201,INE684F01012,
GABRIEL,EQ,104.2,107.8,98.25,105.1,105.5,105.85,167007,17256992.25,22-SEP-2020,4163,INE524A01029,
GAEL,EQ,204,208,190.1,206.65,205.05,204.45,128649,25681181.7,22-SEP-2020,4297,INE036B01022,
GAIL,EQ,88.1,88.5,82.85,84.15,84.2,88.2,23856234,2021540827.6,22-SEP-2020,81949,INE129A01019,
GAL,EQ,3.75,3.75,3.45,3.45,3.45,3.6,23924,83310.2,22-SEP-2020,52,INE482J01021,
GALAXYSURF,EQ,1889.75,1889.75,1770.2,1811.8,1812,1891.15,25540,46559895.35,22-SEP-2020,4885,INE600K01018,
GALLANTT,EQ,30.25,33,29.55,32.2,32.9,31,8016,252350.55,22-SEP-2020,148,INE297H01019,
GALLISPAT,EQ,27.9,28.3,27.1,27.6,27.1,27.85,8146,222814.45,22-SEP-2020,56,INE528K01029,
GAMMNINFRA,EQ,0.65,0.7,0.6,0.65,0.7,0.65,1859077,1216782.7,22-SEP-2020,369,INE181G01025,
GANDHITUBE,EQ,210.65,214.35,202.35,210.5,211,215.35,2721,561374.05,22-SEP-2020,389,INE524B01027,
GANECOS,EQ,260.1,260.8,255,255.25,255,262,11114,2862396.3,22-SEP-2020,358,INE845D01014,
GANESHHOUC,EQ,24.6,26.5,24.3,25.95,26,25.55,18659,468560.05,22-SEP-2020,137,INE460C01014,
GANGESSECU,EQ,38.95,39.85,37.15,39.3,39.35,38.95,9220,360107.55,22-SEP-2020,63,INE335W01016,
GARDENSILK,BE,10.15,10.4,9.65,10,10.25,10.15,13798,136808.25,22-SEP-2020,68,INE526A01016,
GARFIBRES,EQ,1931.05,1935,1780,1831.4,1825.05,1928.45,34132,62647068.05,22-SEP-2020,6103,INE276A01018,
GATI,EQ,46.85,49.95,43.2,49.4,49.5,46.85,1152856,55506718.8,22-SEP-2020,5950,INE152B01027,
GAYAHWS,BE,0.4,0.4,0.35,0.4,0.4,0.4,138826,52965.9,22-SEP-2020,76,INE287Z01012,
GAYAPROJ,EQ,17.05,17.2,16.7,16.7,16.7,17.55,213488,3576361.3,22-SEP-2020,358,INE336H01023,
GDL,EQ,88.7,89.65,86.2,88,88,88.7,73488,6430770.6,22-SEP-2020,1202,INE852F01015,
